pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment,row.sentence_A,row.sentence_B,jaccard_score,Num_words_Sentence_B,Num_words_Sentence_A,difference_in_words
1,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,4.5,NEUTRAL,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,0.75,17,18,1
2,A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,3.2,NEUTRAL,A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,0.5789473684210527,18,18,0
3,The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,4.7,ENTAILMENT,The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,0.3125,11,12,1
5,The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,3.4,NEUTRAL,The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,0.25,18,11,-7
9,The young boys are playing outdoors and the man is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,3.7,NEUTRAL,The young boys are playing outdoors and the man is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,0.23809523809523808,18,12,-6
12,Two dogs are fighting,Two dogs are wrestling and hugging,4.0,NEUTRAL,Two dogs are fighting,Two dogs are wrestling and hugging,0.42857142857142855,6,4,-2
14,A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,3.5,NEUTRAL,A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,0.0,4,14,10
18,A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,3.2,NEUTRAL,A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,0.0,6,14,8
25,Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,2.8,NEUTRAL,Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,0.125,12,8,-4
26,A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,3.7,NEUTRAL,A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,0.1875,12,9,-3
28,A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,3.4,NEUTRAL,A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,0.26666666666666666,9,12,3
30,A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,4.9,ENTAILMENT,A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,0.7142857142857143,15,13,-2
35,A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,3.6,NEUTRAL,A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,0.25,17,13,-4
40,The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,3.8,NEUTRAL,The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,0.2777777777777778,13,15,2
42,Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,3.4,CONTRADICTION,Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,0.875,8,9,1
44,Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,4.9,ENTAILMENT,Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,0.7,8,9,1
45,Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,3.9,NEUTRAL,Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,0.6363636363636364,8,10,2
47,Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,3.415,NEUTRAL,Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,0.21428571428571427,10,8,-2
49,Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,3.7,NEUTRAL,Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,0.23076923076923078,9,8,-1
55,Three boys are jumping in the leaves,Three kids are jumping in the leaves,4.4,ENTAILMENT,Three boys are jumping in the leaves,Three kids are jumping in the leaves,0.75,7,7,0
56,Three kids are sitting in the leaves,Three kids are jumping in the leaves,3.8,NEUTRAL,Three kids are sitting in the leaves,Three kids are jumping in the leaves,0.75,7,7,0
58,Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,3.5,NEUTRAL,Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,0.36363636363636365,7,9,2
62,Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,4.0,NEUTRAL,Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,0.36363636363636365,7,9,2
65,Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,2.9,NEUTRAL,Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,0.7272727272727273,12,9,-3
70,Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,4.1,NEUTRAL,Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,0.6153846153846154,13,11,-2
72,Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,2.5,NEUTRAL,Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,0.5384615384615384,9,13,4
73,Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,4.2,NEUTRAL,Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,0.75,13,12,-1
77,People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,4.4,ENTAILMENT,People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,0.6428571428571429,11,15,4
78,People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,3.2,NEUTRAL,People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,0.5625,14,15,1
