pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
6619,The young boys are posing with a green soccer ball in a park,Four boys are kneeling next to each other in front of a ball,3.5,NEUTRAL
6620,A tan dog is running through the brush,"A dog, which is tan, is running through the brush",5,ENTAILMENT
6626,A white dog with beige spots is running through a field,"A dog, which is tan, is running through the brush",2.9,NEUTRAL
6631,A horse and its rider are leaping over a barrier,The horse is leaping over the rider at the barrier,3.5,NEUTRAL
6632,A hurdle is being leapt by a horse that has a rider on its back,A horse is leaping a hurdle and has a rider on its back,4.9,ENTAILMENT
6635,A horse with no rider is falling over a hurdle,A horse and its rider are leaping over a barrier,3.1,NEUTRAL
6638,A horse is leaping a hurdle and has a rider on its back,The horse is leaping over the rider at the barrier,3.1,NEUTRAL
6640,Some football players in red and white are jumping and hugging,Football players in red and white are jumping and hugging each other,4.8,ENTAILMENT
6644,Two teammates are lifting a football player in a red and white uniform,Football players in red and white are jumping and hugging each other,3.7,NEUTRAL
6646,A football player in a red and white uniform is being lifted by two teammates,Some football players in red and white are jumping and hugging,3.7,NEUTRAL
6647,A football player in a red and white uniform is being lifted by two teammates,There are no football players in red and white jumping and hugging each other,3.3,NEUTRAL
6648,Football players in red and white are jumping and hugging each other,A football player in a red and white uniform is being lifted by two teammates,3.8,NEUTRAL
6656,A white woman is standing on a woman dressed in blue on a stage,Two teenage girls are wearing fancy dresses at an event,1.6,NEUTRAL
6657,A woman in a white dress and a woman in a blue dress are standing on a stage,Two girls in their teens are wearing fancy dresses at an event,2.6,NEUTRAL
6658,Two old ladies are wearing worn dresses at home,A woman in a white dress and a woman in a blue dress are standing on a stage,2.6,NEUTRAL
6659,A woman in a white dress and a woman in a blue dress are standing on a stage,Two teenage girls are wearing fancy dresses at an event,2.3,NEUTRAL
6664,"Two women with folded arms, who are young, are looking at the screen",Two women with black hair are standing in front of a plywood wall,2.5,NEUTRAL
6665,Two women with black hair are standing in front of a plywood wall,Two young women with folded arms are looking away from the screen,2,NEUTRAL
6669,A group of students in uniforms is listening attentively at the front of the class,Some students in uniforms are listening attentively at the front of the class,4.8,ENTAILMENT
6670,A group of students in uniforms is listening attentively at the front of the class,A group of students in uniforms is ignoring the front of the class,3.2,CONTRADICTION
6671,A classroom full of students is looking in the same direction inside a bamboo structure,A classroom full of students is looking attentively in the same direction inside a bamboo structure,4.8,ENTAILMENT
6674,There is no classroom full of students looking in the same direction inside a bamboo structure,A group of students in uniforms is listening attentively at the front of the class,2.6,NEUTRAL
6675,Some students in uniforms are listening attentively at the front of the class,A classroom full of students is looking in the same direction inside a bamboo structure,3,NEUTRAL
6678,A boy is jumping off a platform and two other boys are standing and watching,A boy is jumping off a platform and two other boys are standing and staring at him,4.8,ENTAILMENT
6683,A boy is jumping off a platform and two other boys are standing and watching,Nobody is jumping off a platform,3.4,CONTRADICTION
6684,Three boys are jumping off a platform,A boy is jumping off a platform and two other boys are standing and staring at him,3.7,NEUTRAL
6687,A group of kids is playing on a structure which is colorful,A group of kids is playing on a colorful structure,5,ENTAILMENT
6688,A group of kids is staring at a colorful structure,A group of kids is playing on a colorful structure,2.9,NEUTRAL
6692,A group of kids is playing on a colorful structure,There is no one climbing on the grotto with a pink interior,1.8,NEUTRAL
6694,A group of kids is staring at a colorful structure,"Four middle eastern children, three girls and one boy, are climbing on the grotto with a pink interior",2.5,NEUTRAL
6695,"Four middle eastern children, three girls and one boy, are climbing on the grotto with a pink interior",A group of kids is playing on a colorful structure,3.8,ENTAILMENT
6696,A group of people is sitting relaxed on both sides of a red stone monument,A group of people is sitting on both sides of a red stone structure,4.3,ENTAILMENT
6697,A group of people is sitting on both sides of a red stone structure,A group of people is standing on both sides of a red stone structure,4.4,NEUTRAL
6698,The group of people is sitting on the ground outside a monument,Some people are sitting on the ground outside a monument,4.9,ENTAILMENT
6700,A group of people is sitting on both sides of a red stone structure,Some people are sitting on the ground outside a monument,3.3,NEUTRAL
6701,A group of people is sitting on both sides of a red stone structure,The group of people is not sitting on the ground outside a monument,3.2,NEUTRAL
6711,"A child, who is small, is outdoors climbing steps outdoors in an area full of grass",A small child in a pink sweater is climbing a concrete staircase,2.9,NEUTRAL
6714,The black bird is sitting comfortably in a leafless tree,The black bird is sitting in a leafless tree,4.9,ENTAILMENT
6715,The black bird is not sitting in a leafless tree,The black bird is sitting in a leafless tree,3.7,CONTRADICTION
6717,A black bird is sitting on a dead tree,A black bird is taking flight from a dead tree,3.4,NEUTRAL
6720,A black bird is taking flight from a dead tree,The black bird is sitting in a leafless tree,3.7,CONTRADICTION
